Score;Genres;Type;Episodes;Studios;Source
7.51;Action, Mystery, Super Power, Supernatural;TV;13;GoHands;Original
7.51;Comedy, Seinen, Slice of Life;OVA;2;A-1 Pictures;Manga
7.51;Comedy, Drama, Romance, School, Slice of Life;Special;1;Kyoto Animation;Light novel
7.51;Action, Magic, Comedy, Super Power, Supernatural, Shounen;OVA;3;Tatsunoko Production;Manga
7.51;Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen;TV;12;Xebec;Manga
7.51;Music, Psychological, Sci-Fi;Music;5;Unknown;Music
7.51;Music, School;Movie;1;Kyoto Animation;Novel
7.51;Action, Adventure, Comedy, Drama;Movie;1;Toei Animation;Original
7.51;Action, Comedy, Drama;ONA;12;Satelight;Web manga
7.51;Comedy, Historical, Supernatural, Romance;ONA;15;Haoliners Animation League;Manga
7.51;Comedy, School, Shounen, Slice of Life;TV;12;C2C;4-koma manga
7.51;Slice of Life, Comedy, Romance, Shounen;OVA;1;Shin-Ei Animation;Manga
7.51;Action, Military, School;Movie;1;A-1 Pictures;Original
7.51;Music;Music;1;SANZIGEN;Original
7.51;Action, Comedy, Supernatural, Ecchi, School, Seinen;TV;12;Zero-G;Manga
7.51;Sci-Fi;Movie;1;GEEK TOYS;Light novel
7.5;Action, Horror, Supernatural, Vampire, Seinen;TV;13;Gonzo;Manga
7.5;Comedy, Parody, Sci-Fi, Shounen;TV;26;J.C.Staff;Manga
7.5;Sci-Fi, Adventure, Comedy, Shounen;TV;76;Toei Animation;Manga
7.5;Drama, Sci-Fi, Shounen, Sports;OVA;5;Sunrise;Unknown
7.5;Action, Comedy, School;OVA;2;Toei Animation;Manga
7.5;Action, Adventure, Magic, Martial Arts, Fantasy;OVA;4;ufotable;Game
7.5;Kids, Slice of Life, Adventure, Fantasy;TV;26;Telescreen;Book
7.5;Drama, School, Slice of Life;Movie;1;Unknown;Book
7.5;Comedy, School, Seinen;OVA;7;Toei Animation;Manga
7.5;Action, Magic, Sci-Fi, Super Power;Movie;1;J.C.Staff;Original
7.5;Action, Cars, Sports, Drama, Seinen;Special;1;Unknown;Manga
7.5;Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School;Special;1;AIC ASTA;Game
7.5;Slice of Life, Comedy, Romance, School;Special;1;AIC;4-koma manga
7.5;Action, Sci-Fi, Adventure, Mecha;TV;13;Production I.G;Original
7.5;Action, Comedy, Super Power, Supernatural, Magic, Shounen;TV;13;Tatsunoko Production;Manga
7.5;Sci-Fi, Comedy, Parody, Romance;OVA;1;Xebec;Light novel
7.5;Action, Comedy, Martial Arts, Shounen, Super Power;Movie;1;Studio Pierrot;Manga
7.5;Comedy, Historical, Romance, Shoujo;Movie;1;Nippon Animation;Manga
7.5;Demons, Drama, Romance, Supernatural;TV;26;Gonzo;Novel
7.5;Comedy, Drama, Romance, School, Shounen;TV;12;Lay-duce;Manga
7.5;Music;Music;1;Wit Studio;Original
7.5;Supernatural, Shounen;OVA;1;Wit Studio;Manga
7.5;Action, Adventure, Historical, Fantasy;ONA;17;Original Force, Wan Wei Mao Donghua;Novel
7.49;Comedy, Drama, Romance, Shoujo;TV;76;Toei Animation;Manga
7.49;Comedy, Sports, Shounen;Movie;1;Trans Arts;Manga
7.49;Sci-Fi, Music, Drama;Music;1;Studio Ghibli;Music
7.49;Comedy, Drama, Martial Arts, Seinen;TV;20;JCF;Manga
7.49;Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School;TV;12;J.C.Staff;Light novel
7.49;Action, Adventure, Drama, Sci-Fi, Space;Movie;1;Toei Animation;Unknown
7.49;Adventure, Comedy, Fantasy;Movie;1;Shin-Ei Animation;Unknown
7.49;Drama, Fantasy, Psychological, Supernatural, Thriller;TV;12;J.C.Staff;Original
7.49;Slice of Life, Comedy, Supernatural, Drama;Special;4;Brain's Base;Original
7.49;Comedy, Parody;ONA;25;Kyoto Animation;4-koma manga
7.49;Comedy, School, Shoujo;Special;1;J.C.Staff;Manga
7.49;Supernatural, Drama, School;Special;1;P.A. Works;Original
7.49;Action, Sci-Fi, Super Power, Psychological, Supernatural;Movie;1;Bones;Original
7.49;Comedy, Drama, Romance, Sci-Fi, Slice of Life;TV;12;J.C.Staff;Original
7.49;Slice of Life, Comedy, Shounen;TV;13;J.C.Staff;Manga
7.49;Slice of Life, Comedy, Shounen;OVA;3;Diomed�a;Manga
7.49;Drama, Romance, School, Shoujo;TV;13;Zexcs;Manga
7.49;Supernatural, Drama, Romance, School;Movie;1;AIC ASTA;Light novel
7.49;Action, Harem, Comedy, Supernatural, Magic, Ecchi;OVA;1;Studio Deen;Light novel
7.49;Drama, Mystery, Seinen, Supernatural;Special;1;ufotable;Manga
7.49;Slice of Life, Comedy, Romance, School;OVA;1;J.C.Staff;Light novel
7.49;Action, Military, Supernatural, Drama, Vampire, Shounen;TV;12;Wit Studio;Manga
7.49;Action, Mystery, Horror, Supernatural, Seinen;TV;13;Polygon Pictures;Manga
7.49;Action, Mystery, Horror, Psychological, School;TV;11;Lerche;Game
7.49;Comedy, Demons, Supernatural, School, Shounen;TV;12;Doga Kobo;Manga
7.49;Sports, School, Shounen;OVA;3;MAPPA;Manga
7.49;School, Shounen, Sports;OVA;1;Production I.G;Manga
7.49;Action, Comedy, Magic, Shounen Ai, Supernatural;TV;12;Haoliners Animation League;Web manga
7.49;Comedy, Drama, Shounen, Sports;TV;25;OLM;Manga
7.49;Comedy, Drama, Romance, Fantasy, School;TV;12;SILVER LINK.;Light novel
7.49;Sci-Fi, Mystery, Psychological, Thriller, Shounen;TV;11;CloverWorks;Manga
7.49;Action, Adventure, Comedy, Romance, Fantasy;TV;12;J.C.Staff;Light novel
7.49;Slice of Life, Comedy, School;ONA;12;Fanworks, Imagineer;Web manga
7.48;Comedy, Drama, Romance, Shoujo;TV;26;TMS Entertainment;Manga
7.48;Historical, Mecha, Samurai, Sci-Fi;TV;26;Gonzo;Other
7.48;Comedy, Magic, Romance, Shounen;TV;50;TMS Entertainment;Manga
7.48;Drama, Mecha, Military, Psychological, Sci-Fi, Space;TV;26;Sunrise;Original
7.48;Action, Comedy, Drama, Martial Arts, Romance, Slice of Life, Sports;TV;124;Madhouse;Manga
7.48;Slice of Life, Drama, Romance;Movie;1;Studio Ghibli;Manga
7.48;Harem, Music, Comedy, Drama, Magic, Romance, School, Shoujo;TV;25;Yumeta Company;Visual novel
7.48;Action, Comedy, School;OVA;5;J.C.Staff, Life Work;Manga
7.48;Adventure, Comedy, Mystery, Police, Shounen;Movie;1;TMS Entertainment;Manga
7.48;Comedy, Shoujo;Special;3;Unknown;Manga
7.48;Action, Military, Comedy, Romance;TV;12;Production I.G;Novel
7.48;Game, School, Slice of Life;TV;25;Gonzo, Picture Magic;Manga
7.48;Comedy, Romance, Shounen Ai;Special;1;Studio Deen;Manga
7.48;Action, Sci-Fi, Mystery, Super Power;TV;12;Bones;Original
7.48;Harem, Hentai;OVA;3;Studio Eromatick;Visual novel
7.48;Action, Sci-Fi, Psychological;Movie;1;GoHands;Novel
7.48;Action, Sci-Fi, Super Power;OVA;1;J.C.Staff;Manga
7.48;Fantasy, Supernatural, Comedy, Parody, Shounen;Special;6;A-1 Pictures;Manga
7.48;Comedy, Supernatural;OVA;1;Lerche;Manga
7.48;Action, Historical, Supernatural, Drama, Samurai, Josei;TV;12;Studio Deen;Visual novel
7.48;Comedy, Historical, Romance, Josei;TV;13;TYO Animations;Manga
7.48;Sci-Fi, Drama, Romance, Shoujo;Movie;1;Wit Studio;Original
7.48;Action, Comedy, Fantasy, Parody, Shounen;TV;13;Ordet, LIDENFILMS;Web manga
7.48;Hentai;OVA;1;Unknown;Manga
7.48;Comedy, Romance, Shounen Ai;OVA;1;J.C.Staff;Manga
7.48;Action, Adventure, Comedy, Drama;Movie;1;Toei Animation;Original
7.48;Action, Sci-Fi, Police, Psychological, Mecha;Movie;1;Production I.G;Manga
7.48;Super Power, Drama, School;Special;1;P.A. Works;Original
7.48;Action, Sci-Fi, Supernatural, Magic;Movie;1;8bit;Light novel
7.48;Action;Movie;1;Unknown;Game
7.48;Action, Horror, Supernatural, Drama, Fantasy;Movie;1;Wit Studio;Original
7.48;Action, Historical, Supernatural, Martial Arts, Fantasy;ONA;30;Sparkly Key Animation Studio;Manga
7.48;Drama, Shounen;OVA;1;J.C.Staff;Manga
7.48;Action, Police, Psychological, Sci-Fi;Movie;1;Production I.G;Original
7.48;Action, Fantasy, Magic, Shoujo;Movie;1;Toei Animation;Original
7.48;Comedy, Historical, Supernatural, Drama, Romance;ONA;12;Haoliners Animation League, Garden Culture;Manga
7.48;Action, Martial Arts, Shounen;ONA;13;TMS Entertainment;Manga
7.48;Action, Sci-Fi, Adventure;TV;12;Nut;Original
7.48;Fantasy, Slice of Life;OVA;1;Ajia-Do;Light novel
7.48;Dementia;ONA;1;Unknown;Original
7.47;Mystery, Seinen;TV;37;TMS Entertainment, Tokyo Kids, Minami Machi Bugyousho;Manga
7.47;Adventure, Game, Shounen;TV;224;Gallop;Manga
7.47;Slice of Life, Comedy, Drama, Romance, Shoujo;TV;50;Toei Animation;Manga
7.47;Action, Adventure, Martial Arts;Movie;1;TMS Entertainment;Unknown
7.47;Adventure, Comedy, Fantasy, Magic;TV;26;Trans Arts;Light novel
7.47;Action, Fantasy, Magic, Comedy, Romance, Music, Drama;Music;1;Madhouse;Manga
7.47;Harem, Music, Romance, School, Shoujo;Special;1;Unknown;Visual novel
7.47;Martial Arts;Movie;1;TMS Entertainment;Unknown
7.47;Adventure, Slice of Life, Supernatural, Fantasy, Shounen;Special;1;Studio Pierrot;Manga
7.47;Comedy, Josei, Music, Romance, Slice of Life;OVA;1;J.C.Staff;Manga
7.47;Demons, Historical, Military, Romance, Seinen, Supernatural;TV;13;J.C.Staff;Manga
7.47;Action, Adventure, Magic, Martial Arts, Fantasy;OVA;3;ufotable;Game
7.47;Action, Fantasy, Magic, Shoujo;Movie;1;Toei Animation;Original
7.47;Action, Comedy, Sports, School, Shounen;Movie;1;Production I.G, M.S.C;Manga
7.47;Music, Comedy, Drama;Special;1;A-1 Pictures;Game
7.47;Sci-Fi, Police, Psychological, Mecha;Movie;1;Production I.G;Manga
7.47;Comedy, School, Seinen;Special;2;Shin-Ei Animation;Manga
7.47;Action, Psychological, Supernatural, Thriller, Shounen;OVA;3;SILVER LINK., Connect;Manga
7.47;Comedy, Drama, Romance, School, Slice of Life;Special;1;Kyoto Animation;Light novel
7.47;Action, Adventure, Demons, Supernatural, Magic, Fantasy;TV;24;MAPPA;Card game
7.47;Drama, Music, School;Special;1;Kyoto Animation;Novel
7.47;Comedy, Sports, Drama, Shounen;Movie;1;TMS Entertainment;Manga
7.47;Action, Horror, Supernatural, Drama, Fantasy;Movie;1;Wit Studio;Original
7.47;Slice of Life, Comedy, Historical, Shounen;TV;12;Bridge;Manga
7.47;Comedy, Historical, Supernatural, Romance;ONA;26;Haoliners Animation League;Manga
7.47;Action, Martial Arts;ONA;12;Larx Entertainment;Web manga
7.47;Action, Comedy, Romance, School, Shounen;TV;12;LIDENFILMS;Manga
7.47;Action, Adventure, Historical, Seinen;OVA;3;Geno Studio;Manga
7.47;Action, Adventure, Demons, Drama, Fantasy, Historical, Martial Arts, Romance;Movie;1;Light Chaser Animation Studios;Original
7.47;Sci-Fi;Movie;1;GEEK TOYS;Light novel
7.46;Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai;TV;26;Sunrise;Original
7.46;Adventure, Comedy, Drama, Fantasy, Magic, Mecha, Romance, Shoujo;TV;20;Tokyo Movie Shinsha;Manga
7.46;Military, Drama, Magic, Romance, Fantasy, Shoujo Ai;TV;26;Studio Deen;Original
7.46;Action, Adventure, Space, Mecha, Romance, Military, Drama, Sci-Fi, Shounen;TV;49;Tatsunoko Production;Original
7.46;Action, Comedy, Police, Seinen;OVA;4;Studio Deen;Manga
7.46;Action, Adventure, Fantasy, Kids, Magic, Supernatural;Movie;1;Gonzo;Novel
7.46;Action, Adventure, Comedy, Drama, Romance, Sci-Fi;Movie;1;Unknown;Manga
7.46;Sci-Fi, Mystery, Psychological, Supernatural;TV;22;Production I.G;Original
7.46;Action, Cars, Seinen, Sports;TV;26;A.C.G.T.;Manga
7.46;Adventure, Comedy, Kids, Fantasy, Mecha, Shounen;Movie;1;Unknown;Manga
7.46;Adventure, Comedy, Demons, Fantasy, Shoujo;OVA;5;Studio Deen;Light novel
7.46;Action, Military, Sci-Fi, Adventure, Space, Psychological, Drama, Mecha;OVA;4;Sunrise;Original
7.46;Action, Sci-Fi, Comedy;TV;13;A-1 Pictures;Manga
7.46;Adventure, Harem, Comedy, Supernatural, Magic, Romance, Ecchi, Vampire, Shounen;OVA;3;Shaft;Manga
7.46;Action, Mecha, Sci-Fi, Super Power;TV;12;Sunrise;Unknown
7.46;Comedy, Shounen, Slice of Life;TV;12;Diomed�a;Manga
7.46;Action, Adventure, Martial Arts, Super Power, Mystery, Shounen;Movie;1;Studio Pierrot;Manga
7.46;Comedy, Supernatural, Romance, Shounen;TV;12;David Production;Manga
7.46;Slice of Life, Comedy, Romance, School;Special;1;J.C.Staff;Light novel
7.46;Comedy, Historical, Romance;TV;12;Madhouse, Studio Gokumi;Light novel
7.46;Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power;TV;12;Gainax, Asahi Production;Manga
7.46;Action, Music, Sci-Fi;TV;13;Satelight;Original
7.46;Hentai;OVA;2;Unknown;Manga
7.46;Slice of Life, Comedy, Parody;TV;13;Production I.G;Manga
7.46;Sci-Fi, Police, Psychological, Mecha;Movie;1;Production I.G;Manga
7.46;Hentai, Supernatural;OVA;1;Unknown;Manga
7.46;Comedy, Romance, School, Shounen;OVA;2;LIDENFILMS;Manga
7.46;Comedy, Romance, Ecchi, School, Seinen;OVA;1;J.C.Staff;Manga
7.46;Action, Supernatural, Vampire, School;ONA;1;Production I.G;Web manga
7.46;Action, Adventure, Fantasy, Game, Kids;ONA;18;OLM;Game
7.46;Slice of Life, Comedy, School;TV;12;Fanworks, Imagineer;Web manga
7.46;Action, Adventure, Fantasy;TV;12;White Fox;Light novel
7.46;School, Slice of Life, Sports;Special;1;Kyoto Animation;Original
7.46;Fantasy, Shounen;OVA;5;8bit;Manga
7.46;Action, Adventure, Demons, Romance, Martial Arts, Fantasy;ONA;52;Ruo Hong Culture;Novel
7.45;Drama, Mecha, Psychological, Sci-Fi;Movie;1;Gainax, Production I.G;Original
7.45;Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo;TV;44;Toei Animation;Manga
7.45;Comedy, Parody, School;TV;26;Shaft;Manga
7.45;Action, Martial Arts, Shounen, Sports;TV;24;Group TAC;Manga
7.45;Mystery, Historical, Horror, Fantasy;TV;11;Toei Animation;Other
7.45;Action, Sci-Fi, Adventure, Drama, Mecha, Shounen;TV;40;Sunrise, Toei Animation;Original
7.45;Action, Adventure, Comedy, Super Power, Supernatural, Shounen;Movie;1;Studio Pierrot;Manga
7.45;Action, Sci-Fi, Adventure, Space;OVA;7;Sunrise;Original
7.45;Comedy, School, Seinen, Slice of Life;TV;12;Shaft;4-koma manga
7.45;Adventure, Comedy, Kids;Movie;1;Shin-Ei Animation;Unknown
7.45;Action, Adventure, Comedy, Super Power, Supernatural, Shounen;Movie;1;Studio Pierrot;Manga
7.45;Mystery, Shounen;OVA;1;TMS Entertainment;Unknown
7.45;Comedy, Parody, School;Special;1;Shaft;Manga
7.45;Sci-Fi, Comedy, Shounen;TV;13;Studio Pierrot, David Production;Manga
7.45;Action, Historical, Supernatural, Drama, Samurai;OVA;2;Studio Deen;Visual novel
7.45;Action, Psychological, Sci-Fi;Movie;1;GoHands;Novel
7.45;Fantasy, Magic;Movie;1;ufotable;Manga
7.45;Action, Drama, Magic, Sci-Fi;Movie;1;Seven Arcs Pictures;Original
7.45;Comedy, Drama, Slice of Life;Special;1;TYO Animations;Original
7.45;Action, Comedy, Demons, Ecchi, Harem, Romance, School;TV;12;TNK;Light novel
7.45;Game, Adventure, Shounen;Movie;1;Gallop;Manga
7.45;Action, Fantasy, Magic, Supernatural;Special;1;ufotable;Visual novel
7.45;Action, Sci-Fi, Horror, Psychological, Supernatural, Drama, Ecchi, Seinen;Movie;1;Digital Frontier;Manga
7.45;Slice of Life, Comedy;TV;13;A-1 Pictures;Web manga
7.45;Comedy, Seinen;TV;12;Diomed�a;Manga
7.45;Comedy, Music, Seinen, Shoujo Ai, Slice of Life;TV;12;8bit;Manga
7.45;Comedy, Fantasy, Parody;TV;12;Studio PuYUKAI;Original
7.45;Action, Super Power, Shounen;Special;2;Bones;Manga
7.45;Comedy, Shounen;TV;8;David Production;Manga
7.45;Action, Super Power, Fantasy;ONA;12;Trigger;Original
7.44;Action, Comedy, Drama, Magic, Seinen;TV;12;Nomad;Manga
7.44;Action, Sports, Martial Arts, Shounen;TV;24;Group TAC;Manga
7.44;Comedy, Harem, Romance, Sci-Fi, Shounen, Space;TV;26;AIC;Original
7.44;Action, Comedy, Mystery, Shounen;Special;1;Sunrise;Manga
7.44;Fantasy, Magic, Shoujo;TV;51;Studio Pierrot;Manga
7.44;Comedy, Mecha, Shounen;Movie;2;Gainax;Original
7.44;Comedy, Fantasy, Magic, Romance, School, Shoujo;TV;61;Gallop;Manga
7.44;Magic, Comedy, Romance, School, Drama;OVA;8;Studio Pierrot;Manga
7.44;Parody, Comedy;Special;4;Sunrise;Original
7.44;Mystery, Comedy, Psychological, Supernatural, Thriller;OVA;5;Studio Deen;Visual novel
7.44;Comedy, Parody, School;Special;1;Shaft;Manga
7.44;Action, Adventure, Comedy, Drama, Sci-Fi, Space;Special;1;Sunrise;Original
7.44;Action, Magic, Sci-Fi, Super Power;TV;24;J.C.Staff;Light novel
7.44;Comedy, Sci-Fi, Shounen;Movie;1;Sunrise;Unknown
7.44;Slice of Life, Comedy, Seinen;TV;12;Shaft;Manga
7.44;Adventure, Mystery, Comedy, Police, Shounen;Special;1;TMS Entertainment;Unknown
7.44;Slice of Life, Historical, Seinen;TV;12;Satelight;Manga
7.44;Slice of Life, Comedy, Romance, School;TV;13;AIC;Visual novel
7.44;Action, Super Power, Comedy, Mystery;Movie;1;Sunrise;Original
7.44;Action, Fantasy, Kids;ONA;1;OLM;Game
7.44;Music, Slice of Life, School;TV;13;Sunrise;Other
7.44;Harem, Hentai;OVA;4;Collaboration Works;Visual novel
7.44;Action, Demons, Supernatural, Fantasy, Shoujo;TV;13;Studio Deen;Manga
7.44;Slice of Life, Comedy, Romance, School;TV;12;Doga Kobo;4-koma manga
7.44;Action, Military, Sci-Fi, Mecha;TV;12;A-1 Pictures, TROYCA;Original
7.44;Music, Slice of Life, School, Shoujo;TV;140;Tatsunoko Production, Dongwoo A&E;Game
7.44;Action, Adventure, Comedy, Kids, Fantasy;Special;4;OLM;Game
7.44;Action, Sci-Fi, Seinen;Movie;1;SANZIGEN;Manga
7.44;Action, Ecchi, Comedy, Harem, Romance, Demons, School;OVA;1;TNK;Light novel
7.44;Music;Music;1;Sunrise;Music
7.44;Sci-Fi, Drama, Romance, School, Shoujo;Movie;1;Telecom Animation Film;Manga
7.44;Action, Super Power, Supernatural;Movie;1;GoHands;Light novel
7.44;Action, Adventure, Comedy, Fantasy, Romance;Movie;1;J.C.Staff;Light novel
7.44;Comedy, Romance;Special;5;CloverWorks;Light novel
7.44;Music;Music;1;Unknown;Original
7.44;Slice of Life, Drama, Romance;Movie;1;Bones;Novel
7.44;Slice of Life, Comedy;Special;1;C-Station;Manga
7.43;Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen;TV;26;Madhouse;Manga
7.43;Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo;TV;24;Madhouse;Manga
7.43;Action, Comedy, Romance, School, Sci-Fi, Shounen, Space;Movie;1;AIC;Unknown
7.43;Drama, Mecha, Military, Sci-Fi, Space;OVA;1;Sunrise;Original
7.43;Action, Comedy, Mystery, Shounen;Movie;1;Sunrise, Production Reed;Manga
7.43;Shounen;Special;1;Sunrise;Unknown
7.43;Ecchi, Slice of Life, Fantasy, Magic, Comedy, Romance, Drama, Shounen;Movie;1;Studio Pierrot;Manga
7.43;Drama, Historical, Slice of Life;TV;48;Nippon Animation;Novel
7.43;Comedy, Magic, School, Shoujo;TV;51;Satelight;Manga
7.43;Comedy, Magic, School, Shoujo;TV;51;Satelight;Manga
7.43;Comedy, Parody, School;Special;2;Gonzo;Manga
7.43;Sci-Fi, Harem, Comedy, Supernatural, Ecchi, Shounen;OVA;1;AIC ASTA;Manga
7.43;Action, Comedy, Ecchi, Harem, Magic, Supernatural;TV;12;Studio Deen;Light novel
7.43;Action, Comedy, Super Power, Martial Arts, Shounen;Special;1;Studio Pierrot;Original
7.43;Action, Music, Sci-Fi;TV;13;Satelight;Original
7.43;Action, Comedy, School, Shounen;Special;1;Lerche;Manga
7.43;Drama, Mystery, Thriller;TV;12;TROYCA;Novel
7.43;Sci-Fi, Drama, Romance;TV;12;Trigger;Original
7.43;Comedy, Parody;Special;1;Studio Pierrot;Manga
7.43;Action, Demons, Supernatural, Fantasy, Shounen;TV;12;A-1 Pictures;Manga
7.43;Adventure, Music, Supernatural, Fantasy;Movie;1;Science SARU;Original
7.43;Comedy, Shounen, Slice of Life;TV;12;SILVER LINK.;Manga
7.43;Action, Adventure, Demons, Romance, Martial Arts, Fantasy;ONA;40;Ruo Hong Culture;Novel
7.43;Action, Adventure, Demons, Fantasy;ONA;2;Unknown;Novel
7.43;Action, Mystery, Comedy, Shounen;Movie;1;Sunrise;Manga
7.43;Action, Magic, Fantasy, School;ONA;12;Shanghai Foch Film Culture Investment;Novel
7.43;Music;Music;1;Enishiya;Original
7.42;Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen;TV;24;Gonzo;Manga
7.42;Action, Comedy, Drama, Magic, Super Power;TV;13;Seven Arcs;Original
7.42;Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural;TV;26;Studio Pierrot;Manga
7.42;Action, Psychological, Military, Drama, Sci-Fi;TV;13;Madhouse;Manga
7.42;Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi;TV;26;Bones;Original
7.42;Action, Ecchi, Mecha, Sci-Fi, Shounen, Space;TV;13;Gonzo;Original
7.42;Slice of Life, Comedy, Drama, School, Josei;TV;13;Madhouse;Manga
7.42;Comedy, Magic, Fantasy, Shoujo;TV;26;Gainax;Original
7.42;Action, Sci-Fi, Super Power, Fantasy;OVA;6;Tatsunoko Production;Original
7.42;Adventure, Comedy, Shounen;Movie;1;Unknown;Manga
7.42;Drama, Military, Seinen;TV;12;J.C.Staff;Original
7.42;Action, Military, Sci-Fi, Adventure, Space, Drama;TV;26;Group TAC;Original
7.42;Comedy, Slice of Life, Shoujo;TV;52;Studio Pierrot;Manga
7.42;Hentai;OVA;12;Flavors Soft;Manga
7.42;Action, Game, Shounen;TV;154;Gallop;Manga
7.42;Action, Cars, Sports, Drama, Seinen;OVA;1;A.C.G.T.;Manga
7.42;Adventure, Comedy, Fantasy;TV;13;J.C.Staff;Light novel
7.42;Action, Military, Adventure, Mecha;Special;1;Kyoto Animation;Light novel
7.42;Action, Comedy, Martial Arts, Shounen, Super Power;Movie;1;Studio Pierrot;Manga
7.42;Slice of Life, Comedy;ONA;4;AIC Build;Light novel
7.42;Action, Harem, Comedy, Supernatural, Magic, Ecchi;OVA;2;Studio Deen;Light novel
7.42;Comedy, Slice of Life;OVA;1;feel.;Manga
7.42;Fantasy, Shounen Ai;OVA;1;CoMix Wave Films;Original
7.42;Slice of Life, Comedy, Shounen;OVA;1;J.C.Staff;Manga
7.42;Game, Slice of Life, School;TV;13;Studio Gokumi;Manga
7.42;Action, Sci-Fi, Police, Psychological;TV;11;Tatsunoko Production;Original
7.42;Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen;TV;131;Toei Animation;Manga
7.42;Drama, Shounen, Sports;Movie;1;TMS Entertainment;Manga
7.42;Comedy, Demons, Supernatural;TV;13;Pierrot Plus;Web manga
7.42;Slice of Life, Comedy, Drama, Romance, Shounen Ai;OVA;2;Studio Deen;Manga
7.42;Adventure, Fantasy;Special;2;Khara;Original
7.42;Game, Mystery, Psychological, Drama, School, Shounen;TV;12;MAPPA;Manga
7.42;Slice of Life, Comedy;TV;12;Nexus;4-koma manga
7.42;Slice of Life, Comedy, Supernatural;TV;12;8bit;Web manga
7.42;Action, Sports, Shounen;TV;52;David Production;Manga
7.42;Mystery, Psychological, Thriller;ONA;12;Thundray;Web manga
7.42;Magic, Romance, Ecchi, Fantasy, Shounen;OVA;2;J.C.Staff;Manga
7.42;Music, Romance;ONA;1;Bones;Original
7.42;Comedy, Supernatural;ONA;11;Nomad;Web manga
7.42;Action, Game, Adventure, Romance, Fantasy;TV;11;A-1 Pictures;Light novel
7.42;Comedy, Parody;TV;25;Studio Pierrot;Manga
7.41;Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural;TV;25;Studio Pierrot;Manga
7.41;Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen;TV;24;Bones;Light novel
7.41;Action, Historical, Fantasy, Mecha;OVA;5;Studio 4�C;Original
7.41;Action, Comedy, Drama, Romance, School, Shounen, Sports;TV;58;Toei Animation;Manga
7.41;Police, Comedy, Mystery, Shounen;OVA;1;TMS Entertainment;Manga
7.41;Action, Comedy, Police, Shounen;TV;26;Studio Deen;Manga
7.41;Action, Historical, Psychological, Drama, Martial Arts, Samurai, Seinen;TV;12;Madhouse;Manga
7.41;Mystery, Drama, Romance, School;Movie;1;Production I.G;Light novel
7.41;Action, Historical, Supernatural, Drama, Samurai, Josei;TV;12;Studio Deen;Visual novel
7.41;Action, Fantasy, Magic, Supernatural;Movie;1;Studio Deen;Visual novel
7.41;Action, Magic, Comedy, Super Power, Supernatural, Shounen;OVA;3;Tatsunoko Production;Manga
7.41;Action, Mecha, Military, Sci-Fi;Movie;1;Sunrise;Original
7.41;Comedy, Seinen, Sports;Special;1;A-1 Pictures;Manga
7.41;Slice of Life, Drama, Romance, Josei;Special;4;Bones, Production Reed;Novel
7.41;Game, Comedy, Supernatural, Shounen;OVA;1;Studio Pierrot;Manga
7.41;Sci-Fi, Sports, Super Power, Shounen;Movie;1;OLM;Game
7.41;Comedy, Drama, Slice of Life;Special;1;TYO Animations;Original
7.41;Action, Hentai, Fantasy;OVA;6;Majin;Visual novel
7.41;Action, Adventure, Comedy, Fantasy, Magic, Shounen;Movie;1;Satelight, A-1 Pictures;Manga
7.41;Hentai;OVA;4;Collaboration Works;Visual novel
7.41;Action, Adventure, Super Power, Martial Arts, Fantasy, Shounen;Movie;1;Toei Animation;Manga
7.41;Comedy, School, Seinen;OVA;1;Shin-Ei Animation;Manga
7.41;Slice of Life, Music, School, Shoujo;Movie;1;Sunrise;Unknown
7.41;Action, Demons, Fantasy, Magic, Supernatural;TV;24;MAPPA;Original
7.41;Comedy, Harem, Romance, School, Shounen;OVA;3;Shaft;Manga
7.41;Fantasy;Special;1;ufotable;Game
7.41;Action, Mecha, Sci-Fi;TV;25;Sunrise;Original
7.41;Slice of Life, Comedy;ONA;4;White Fox;Visual novel
7.41;Comedy, School, Slice of Life;Special;7;SILVER LINK.;Web manga
7.41;Drama, Romance, School, Shounen Ai, Slice of Life;TV;12;Encourage Films;Manga
7.41;Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural;TV;12;J.C.Staff;Web manga
7.41;Comedy, Ecchi, Slice of Life;OVA;1;Doga Kobo;4-koma manga
7.41;Slice of Life, Comedy;TV;25;P.A. Works;Original
7.41;Action, Super Power, Supernatural;ONA;24;Haoliners Animation League;Web manga
7.41;Action, Mystery;TV;12;Satelight;Novel
